IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
113.206.180.252,18-01-22 03:27,7.168,重庆,HTTPS,8118
223.241.119.12,18-01-22 03:22,7.521,安徽,HTTP,8010
122.241.72.157,18-01-22 03:15,1.721,浙江丽水,HTTP,808
110.86.137.239,18-01-22 03:11,0.197,福建宁德,HTTPS,49360
140.237.113.5,18-01-21 21:45,0.317,电信骨干网,HTTPS,36647
125.78.6.240,18-01-21 21:33,0.179,福建泉州,HTTPS,32742
36.99.207.74,18-01-21 21:33,2.785,浙江,HTTPS,26462
49.87.146.78,18-01-21 21:33,5.522,江苏淮安,HTTPS,26628
114.232.119.20,18-01-21 21:33,0.147,江苏南通,HTTPS,39923
183.151.37.162,18-01-21 21:22,1.239,浙江丽水,HTTPS,20674
218.14.143.76,18-01-22 02:46,1.002,广东江门市新会区,HTTPS,39670
122.237.240.217,18-01-22 02:44,4.461,浙江绍兴,HTTPS,28290
121.206.85.27,18-01-22 02:33,0.487,福建龙岩,HTTPS,24340
49.85.7.23,18-01-21 21:22,0.167,江苏泰州,HTTPS,49937
180.115.5.227,18-01-21 21:22,0.203,江苏常州,HTTPS,28895
123.163.225.213,18-01-21 21:11,0.227,河南,HTTPS,808
111.164.161.29,18-01-21 21:05,0.046,天津,HTTPS,8888
39.85.94.249,18-01-21 20:55,1.076,山东,HTTP,8118
110.73.34.160,18-01-21 20:54,3.423,广西防城港,HTTP,8123
110.73.31.235,18-01-22 02:31,1.92,广西防城港,HTTP,8123
183.16.28.47,18-01-22 02:25,5.583,广东深圳,HTTPS,8123
27.40.151.220,18-01-22 02:20,0.489,广东湛江,HTTPS,61234
221.8.175.211,18-01-22 02:01,2.826,吉林,HTTPS,80
110.73.10.126,18-01-22 02:00,7.404,广西防城港,HTTP,8123
110.72.26.245,18-01-22 01:55,0.664,广西贵港,HTTPS,8123
121.31.100.123,18-01-21 20:45,5.729,广西防城港,HTTP,8123
58.209.56.134,18-01-21 20:44,0.155,江苏苏州,HTTPS,8118
110.72.46.1,18-01-21 20:31,3.909,广西贵港,HTTP,8123
122.241.7.89,18-01-21 20:22,1.022,浙江丽水,HTTPS,43024
123.163.165.241,18-01-21 20:16,1.105,河南三门峡,HTTP,45398
